dbp,num_peaks,total_peak_length,peaks_overlapping_promoters,peaks_overlapping_lncrna_promoters,peaks_overlapping_mrna_promoters,peaks_overlapping_genebody,peaks_overlapping_lncrna_genebody,peaks_overlapping_mrna_genebody
ZBTB14,6897,5423354,7003,1516,5487,8611,1629,6982
ZBTB21,18270,13406918,10322,2414,7908,19059,4055,15004
ZBTB24,3726,2218096,3117,729,2388,4183,844,3339
ZBTB25,39504,36471070,14628,3642,10986,37816,8163,29653
ZBTB26,64028,64343857,18384,4991,13393,57945,11901,46044
ZBTB38,96052,126403789,20869,6306,14563,90734,15627,75107
ZBTB39,4661,2289579,2088,528,1560,4548,981,3567
ZBTB4,1138,4373154,1460,377,1083,1825,424,1401
ZBTB42,6747,5104710,6069,1353,4716,8160,1620,6540
ZBTB43,17264,9593139,10209,2340,7869,18178,3752,14426
ZBTB44,10937,7468153,9868,2130,7738,13213,2603,10610
ZBTB46,2516,1790545,2233,491,1742,2951,575,2376
ZBTB49,7698,9203654,7130,1610,5520,9685,2035,7650
ZBTB7A,10377,5021096,6749,1550,5199,10334,1970,8364
ZBTB7B,40280,37584531,16586,4109,12477,38665,8247,30418
ZC3H4,11862,23070932,8808,2182,6626,14556,3068,11488
ZC3H8,6082,4065571,5497,1217,4280,7348,1439,5909
ZCCHC11,28375,22867136,14066,3301,10765,28526,6021,22505
ZFP1,2042,2341982,2127,508,1619,2770,601,2169
ZFP14,2251,1203759,2079,481,1598,2678,541,2137
ZFP36L2,8628,5411630,7578,1640,5938,10269,2074,8195
ZFP37,8882,5530924,6852,1525,5327,10146,2050,8096
ZFP41,15224,16188843,10262,2404,7858,16663,3293,13370
ZFP64,23260,17373906,13213,3067,10146,24221,4948,19273
ZFP82,1552,953055,1443,327,1116,1865,376,1489
ZFY,24482,26619698,14681,3413,11268,26312,5475,20837
ZGPAT,47576,55704909,15656,4057,11599,44676,9718,34958
ZHX3,7698,5421839,7290,1568,5722,9657,1868,7789
ZIK1,19444,16922479,13433,2969,10464,21572,4248,17324
ZKSCAN1,7953,3218006,3245,711,2534,7307,1434,5873
ZKSCAN5,10274,7201482,7502,1711,5791,11467,2294,9173
ZKSCAN8,24861,22750003,11917,2863,9054,25110,5405,19705
ZMYM3,11254,28095395,4081,1051,3030,10608,2195,8413
ZNF12,15373,16909056,10150,2373,7777,17226,3757,13469
ZNF124,32792,24832788,14775,3542,11233,32195,6855,25340
ZNF138,7507,4962803,7887,1664,6223,9625,1760,7865
ZNF142,13954,11553888,11793,2588,9205,16475,3299,13176
ZNF143,11765,9779651,8925,1862,7063,13374,2653,10721
ZNF205,40983,35009234,16078,3993,12085,39070,8299,30771
ZNF217,39937,39023321,14255,3608,10647,37367,8283,29084
ZNF224,3190,2806565,3183,717,2466,4046,852,3194
ZNF225,64991,107458601,19132,5450,13682,59742,12133,47609
ZNF230,15397,20346706,11687,2621,9066,17960,3739,14221
ZNF232,6306,7017169,5593,1240,4353,7779,1622,6157
ZNF234,1420,585723,1440,312,1128,1696,307,1389
ZNF25,4499,4979293,4980,1071,3909,6143,1228,4915
ZNF256,5278,2900541,5281,1106,4175,6424,1251,5173
ZNF263,33508,27565268,14636,3582,11054,32483,6508,25975
ZNF264,16786,7982328,8697,1970,6727,16840,3610,13230
ZNF274,34668,63216770,16120,4095,12025,35631,7529,28102
ZNF276,31362,34737257,15494,3737,11757,31533,6524,25009
ZNF280B,144678,157126100,23428,7661,15767,124583,23541,101042
ZNF280D,20359,15179177,11510,2629,8881,20927,4445,16482
ZNF281,15086,15622567,8312,2052,6260,15971,3549,12422
ZNF296,18684,16233042,9782,2403,7379,18578,3677,14901
ZNF30,1998,980849,2019,462,1557,2370,463,1907
ZNF317,19838,12882296,10242,2322,7920,20024,4406,15618
ZNF318,51465,55849192,16967,4504,12463,48529,9437,39092
ZNF326,8699,8372588,6097,1444,4653,10098,1763,8335
ZNF331,55938,40405478,17003,4430,12573,50527,10943,39584
ZNF333,8260,8417370,7944,1708,6236,10435,2026,8409
ZNF335,40633,35488319,15772,3901,11871,38592,8227,30365
ZNF337,1880,2780290,1723,406,1317,2429,541,1888
ZNF33B,25290,32316940,14373,3409,10964,26797,5691,21106
ZNF34,9127,10091865,8570,1876,6694,11562,2291,9271
